station,catch,vessel,size,status
CHL,449,S,70,sub
CHF,224,S,70,sub
UGB,3,S,70,sub
UGC,6,S,70,sub
UGD,9,S,70,sub
UGE,0,S,70,sub
UGI,4,S,70,sub
UGM,0,S,70,sub
510D,0,S,70,sub
KLI,15,S,70,sub
510C,0,S,70,sub
511A,0,S,70,sub
535A,17,S,70,sub
535C,14,S,70,sub
535C,26,S,70,sub
535A,41,S,70,sub
510C,0,S,70,sub
511A,0,S,70,sub
535A,8,S,70,sub
535C,60,S,70,sub
535C,39,S,70,sub
535A,15,S,70,sub
255B,1,S,70,sub
255A,2,S,70,sub
256,1,S,70,sub
257,0,S,70,sub
283B,0,S,70,sub
283A,16,S,70,sub
313,1,S,70,sub
CHA,0,S,70,sub
CHB,1,S,70,sub
CHF,2,S,70,sub
CHK,4,S,70,sub
CHL,2,S,70,sub
KZG,0,S,70,sub
KZJ,24,S,70,sub
KZK,23,S,70,sub
KZO,17,S,70,sub
KZR,115,S,70,sub
KZS,0,S,70,sub
MOGX,1,S,70,sub
MOLA,11,S,70,sub
MONX,0,S,70,sub
MOPA,20,S,70,sub
MOLB,3,S,70,sub
MOXA,4,S,70,sub
MOXB,2,S,70,sub
CHL,191,R,70,sub
CHF,"1,248",R,70,sub
UGB,2,R,70,sub
UGC,4,R,70,sub
UGD,14,R,70,sub
UGE,19,R,70,sub
UGI,3,R,70,sub
UGM,0,R,70,sub
510D,0,R,70,sub
KLI,8,R,70,sub
510C,0,R,70,sub
511A,0,R,70,sub
535A,7,R,70,sub
535C,6,R,70,sub
535C,13,R,70,sub
535A,7,R,70,sub
510C,0,R,70,sub
511A,1,R,70,sub
535A,1,R,70,sub
535C,24,R,70,sub
535C,20,R,70,sub
535A,6,R,70,sub
255B,0,R,70,sub
255A,2,R,70,sub
256,2,R,70,sub
257,0,R,70,sub
283B,1,R,70,sub
283A,2,R,70,sub
313,1,R,70,sub
CHA,0,R,70,sub
CHB,1,R,70,sub
CHF,3,R,70,sub
CHK,18,R,70,sub
CHL,8,R,70,sub
KZG,13,R,70,sub
KZJ,9,R,70,sub
KZK,36,R,70,sub
KZO,2,R,70,sub
KZR,71,R,70,sub
KZS,49,R,70,sub
MOGX,2,R,70,sub
MOLA,10,R,70,sub
MONX,0,R,70,sub
MOPA,21,R,70,sub
MOLB,0,R,70,sub
MOXA,4,R,70,sub
MOXB,3,R,70,sub
CHL,0,S,70_91,sub
CHF,4,S,70_91,sub
UGB,0,S,70_91,sub
UGC,2,S,70_91,sub
UGD,1,S,70_91,sub
UGE,5,S,70_91,sub
UGI,1,S,70_91,sub
UGM,0,S,70_91,sub
510D,4,S,70_91,sub
KLI,0,S,70_91,sub
510C,0,S,70_91,sub
511A,0,S,70_91,sub
535A,1,S,70_91,sub
535C,1,S,70_91,sub
535C,0,S,70_91,sub
535A,1,S,70_91,sub
510C,0,S,70_91,sub
511A,1,S,70_91,sub
535A,0,S,70_91,sub
535C,1,S,70_91,sub
535C,1,S,70_91,sub
535A,1,S,70_91,sub
255B,1,S,70_91,sub
255A,1,S,70_91,sub
256,4,S,70_91,sub
257,0,S,70_91,sub
283B,3,S,70_91,sub
283A,56,S,70_91,sub
313,2,S,70_91,sub
CHA,1,S,70_91,sub
CHB,105,S,70_91,sub
CHF,20,S,70_91,sub
CHK,14,S,70_91,sub
CHL,1,S,70_91,sub
KZG,3,S,70_91,sub
KZJ,0,S,70_91,sub
KZK,145,S,70_91,sub
KZO,72,S,70_91,sub
KZR,267,S,70_91,sub
KZS,26,S,70_91,sub
MOGX,6,S,70_91,sub
MOLA,6,S,70_91,sub
MONX,13,S,70_91,sub
MOPA,4,S,70_91,sub
MOLB,0,S,70_91,sub
