survey_name,tow,vessel_id,station,tow_date,primary,km_towed,duration,avg_depth,gear_perf,bottom_temp,juv_fem,adult_fem,tot_fem,sl_<70,sl_70-91,sl_92-114,sl_>114,recruit,tot_mature,tot_legal,tot_male,arrowtooth,flathead,pacific_cod,pollock
SBSSOL2015,15100024,32,KZJ,6/15/2015,0,1.759,23,70,0,6.7,31,3,34,24,0,0,0,0,0,0,24,43.17,130.51,1.73,1.05
SBSRES2015,15010029,30,KZK,6/15/2015,0,1.852,26,96,0,6.32,17,12,29,36,90,23,2,0,2,0,152,303.6,121.06,4.06,13.31
SBSSOL2015,15100023,32,KZK,6/15/2015,1,1.852,28,104,0,6.27,16,10,25,23,145,24,9,0,9,0,200,535.43,164.29,5.67,4.75
SBSRES2015,15010028,30,KZO,6/15/2015,0,1.852,24,111,0,6.22,27,127,153,2,56,45,14,1,15,1,118,1932.02,41.71,9.67,0.81
SBSSOL2015,15100022,32,KZO,6/15/2015,1,1.908,27,108,0,6.23,18,26,44,17,73,26,4,0,4,0,119,493.51,92.27,7.57,0.92
SBSRES2015,15010026,30,KZR,6/15/2015,1,0.926,12,64,0,5.47,51,31,82,72,133,75,42,15,58,17,338,46.47,38.35,1.78,3.12
SBSSOL2015,15100019,32,KZR,6/15/2015,0,0.982,16,65,0,5.49,192,69,262,115,267,173,104,54,162,58,717,30.4,43.72,13.49,18.53
SBSRES2015,15010025,30,KZS,6/15/2015,0,0.926,12,47,0,5.64,75,82,157,49,32,18,14,8,22,8,121,18.24,99.34,9.65,5.35
SBSSOL2015,15100020,32,KZS,6/15/2015,0,1,15,60,0,5.56,66,1331,1397,0,26,104,140,81,253,113,383,10.73,62.67,10.7,32.4
SBSRES2015,15010027,30,MONX,6/15/2015,1,1.852,25,105,0,6.23,2,10,12,0,10,4,1,0,1,0,15,320.91,79.76,20.58,1.7
SBSSOL2015,15100021,32,MONX,6/15/2015,1,2.037,29,105,0,6.25,2,9,12,0,13,5,0,0,0,0,19,380.13,128.8,39.18,1.2
SBSRES2017,17100002,30,CHL,5/31/2017,1,1.852,24,103,0,5.8553042,79,0,79,96,1,0,0,1,1,1,97,96.6,292.12,2.3,2.46
SBSSOL2017,17110002,32,CHL,5/31/2017,1,1.852,27,99,0,,402,2,404,449,0,2,0,0,0,0,451,63.25,185.63,1.41,2.15
SBSRES2017,17100003,30,CHF,5/31/2017,1,1.852,24,72,0,5.209375,447,47,494,624,17,10,20,3,23,3,674,39.13,262.14,4.96,6.64
SBSSOL2017,17110003,32,CHF,5/31/2017,1,1.852,27,78,2,,201,25,226,224,4,5,2,0,2,0,234,11.7,191.93,1.38,1.58
SBSRES2017,17100004,30,UGB,6/1/2017,0,1.852,24,49,0,5.0753627,3,4,7,2,0,1,0,0,1,1,3,26.23,76.52,12.17,58.96
SBSSOL2017,17110004,32,UGB,6/1/2017,1,1.852,25,50,0,5.085724,1,1,2,3,0,2,1,0,2,1,7,20.7,66.43,19.52,87.06
SBSRES2017,17100005,30,UGC,6/1/2017,1,1.852,23,51,0,5.1313176,3,1,4,4,1,5,12,7,20,8,29,30.74,141.17,7.66,42.8
SBSSOL2017,17110005,32,UGC,6/1/2017,0,1.852,25,51,0,5.099912,4,3,6,6,2,4,3,1,4,1,16,46.09,141.1,18.95,88.7
SBSRES2017,17100006,30,UGD,6/1/2017,1,1.852,26,54,0,5.0387654,11,1,11,14,1,7,12,2,15,2,37,22.44,12.8,5.64,11.05
SBSSOL2017,17110006,32,UGD,6/1/2017,1,1.852,27,55,0,5.030841,5,3,8,9,1,4,11,1,11,1,25,24.88,37.38,0,28.05
SBSRES2017,17100007,30,UGE,6/1/2017,0,1.852,24,52,0,5.014117,16,8,23,19,1,19,22,3,25,3,64,16.64,22.9,2.89,8.96
SBSSOL2017,17110007,32,UGE,6/1/2017,1,1.852,26,52,0,5.083877,2,516,519,0,5,137,329,10,366,36,508,63.04,11.96,18.68,22.05
SBSRES2017,17100008,30,UGI,6/1/2017,1,1.852,25,55,0,5.38944,2,8,10,3,2,11,4,0,4,0,20,30.35,28.19,0.94,4.76
SBSSOL2017,17110008,32,UGI,6/1/2017,1,1.852,27,54,0,5.383963,4,14,18,4,1,12,13,1,13,1,31,21,22.58,0,6.34
SBSRES2017,17100009,30,UGM,6/1/2017,1,1.852,25,57,0,5.339352,0,121,121,0,0,200,478,32,514,36,713,40.48,3.35,0,2.86
SBSSOL2017,17110009,32,UGM,6/1/2017,1,1.852,27,59,0,5.3297925,0,253,253,0,0,444,680,40,720,40,1164,91.6,12.63,2.21,3.34
SBSRES2017,17100010,30,510D,6/1/2017,0,1.852,25,55,0,5.481708,1,24,25,0,0,96,91,6,97,6,193,45.16,31.74,1.93,0.37
SBSSOL2017,17110010,32,510D,6/1/2017,1,1.852,25,58,0,5.389088,0,1311,1311,0,4,134,287,0,323,36,461,32.53,11.25,1.19,6.94
SBSRES2017,17100011,30,KLI,6/2/2017,0,1.852,25,64,4,5.439844,6,2,9,8,0,0,6,0,6,0,14,185.13,157.85,15.84,4.12
SBSSOL2017,17110011,32,KLI,6/2/2017,1,1.852,27,68,4,5.429552,16,2,18,15,0,2,7,0,8,1,25,479.83,202.05,19.08,13.43
SBSRES2017,17100012,30,510C,6/2/2017,0,1.852,25,54,0,5.513012,0,0,0,0,0,2,0,0,0,0,2,26.71,18.76,1.45,3.6
SBSSOL2017,17110012,32,510C,6/2/2017,1,1.852,26,54,0,5.51765,0,0,0,0,0,1,0,0,0,0,1,18.81,22.19,0,1.56
SBSRES2017,17100013,30,511A,6/2/2017,1,1.852,25,57,0,5.53098,0,0,0,0,1,5,3,0,3,0,8,102.86,88.83,0.54,0.36
SBSSOL2017,17110013,32,511A,6/2/2017,1,1.852,26,59,0,5.5238037,0,0,0,0,0,4,1,0,1,0,5,53.26,85.72,4.68,1.32
SBSRES2017,17100014,30,535A,6/2/2017,0,1.852,25,72,0,5.539008,8,1,9,7,1,5,4,0,4,0,17,272.48,14.81,15.36,11.67
SBSSOL2017,17110014,32,535A,6/2/2017,1,1.852,26,73,0,5.54385,8,0,8,17,1,8,0,0,0,0,25,230.97,10.83,10.35,6.86
SBSRES2017,17100015,30,535C,6/2/2017,0,1.852,24,81,0,5.514925,5,0,5,6,1,4,5,0,5,0,16,362.21,34.36,6.05,5.73
SBSSOL2017,17110015,32,535C,6/2/2017,1,1.482,23,82,0,5.5018625,14,1,15,14,1,7,3,1,3,1,25,197.96,22.8,6.23,3.81
SBSRES2017,17100016,30,535C,6/2/2017,1,1.852,25,84,0,5.535028,25,0,25,13,0,1,9,1,9,1,23,257.9,45.03,2.46,1.71
SBSSOL2017,17110016,32,535C,6/2/2017,0,1.852,25,84,0,5.526588,42,1,42,26,0,5,5,1,6,1,38,271.3,47.66,6.49,1.74
SBSRES2017,17100017,30,535A,6/2/2017,1,1.852,24,75,0,5.543696,6,1,6,7,0,4,2,0,2,0,13,177.08,17.75,6.24,9.31
SBSSOL2017,17110017,32,535A,6/2/2017,0,1.852,25,76,0,5.524496,59,0,59,41,1,8,6,2,8,2,57,257.24,7.37,7.98,9.38
SBSRES2017,17100018,30,510C,6/3/2017,0,1.852,24,55,0,5.5458665,0,0,0,0,0,2,1,0,1,0,3,45.74,42.17,0,0.5
SBSSOL2017,17110018,32,510C,6/3/2017,0,1.852,26,54,0,5.5450425,0,0,0,0,0,0,0,0,0,0,0,30.25,22.89,0.64,2.23
SBSRES2017,17100019,30,511A,6/3/2017,0,1.852,25,56,0,5.53886,0,0,0,1,1,4,1,0,1,0,6,61.22,94.06,2.67,1.02
SBSSOL2017,17110019,32,511A,6/3/2017,0,1.852,26,57,0,5.540158,0,0,0,0,1,5,1,0,1,0,6,45.36,68.26,3.97,0.69
SBSRES2017,17100020,30,535A,6/3/2017,1,1.852,25,70,0,5.518532,8,0,8,1,1,8,2,0,2,0,11,377.12,19.79,20.7,23.14
SBSSOL2017,17110020,32,535A,6/3/2017,1,1.852,24,76,0,5.516936,19,1,19,8,0,5,3,0,3,0,16,303.75,14.41,24.44,10.96
SBSRES2017,17100021,30,535C,6/3/2017,1,1.852,25,84,0,5.538004,26,0,26,24,1,4,5,3,8,3,38,247.91,20.89,8.99,20.29
SBSSOL2017,17110021,32,535C,6/3/2017,1,1.852,27,85,0,5.5382776,66,0,66,60,1,5,8,1,9,1,74,213.99,26.87,2.42,21.11
SBSRES2017,17100022,30,535C,6/3/2017,0,1.852,24,82,0,5.5377126,25,0,25,20,2,5,8,0,8,0,35,248.49,26.61,5.36,2.98
SBSSOL2017,17110022,32,535C,6/3/2017,0,1.852,26,82,0,5.55015,52,1,52,39,1,8,11,1,12,1,59,304.86,18.9,4.54,12.9
SBSRES2017,17100023,30,535A,6/3/2017,0,1.852,25,75,0,5.54532,8,0,8,6,1,3,4,1,4,1,15,208.47,24,19.11,154.23
SBSSOL2017,17110023,32,535A,6/3/2017,0,1.852,26,73,0,5.5519037,15,1,16,15,1,11,3,1,4,1,31,186.88,11.99,19.67,116.02
